Event_Id,Section,Quantity,Price,Row,Availability
107,237,2,226,7,
107,94,4,226,UU,
107,94,4,226,UU,
107,237,3,226,10,
107,94,2,226,GG,
107,237,6,226,17,
107,163,2,226,LL,
107,104,2,201,PP,
107,232,4,226,4,
107,241,6,226,42,
107,2,1,206,M,
107,212,2,207,15,
107,217,3,208,11,
107,900,7,206,GA,
107,94,2,209,EE,
107,223,3,209,1,
107,95,2,230,LL,
107,4,2,211,J,
107,87,6,230,MM,
107,238,5,230,10,
107,900,1,221,GA,
107,243,2,230,8,
107,237,4,230,10,
107,329,2,230,A,
107,236,2,230,8,
107,236,2,230,8,
107,222,2,230,8,
107,240,2,230,6,
107,93,2,195,WW,
107,215,2,210,11,
107,900,4,211,SR,
107,94,2,212,GG,
107,212,2,212,13,
107,3,2,217,E,
107,225,1,217,5,
107,227,4,235,13,
107,162,4,236,MM,
107,225,2,237,5,
107,238,21,237,19,
107,226,2,237,11,
107,226,2,237,7,
107,162,2,237,HH,
107,209,4,237,17,
107,237,6,237,16,
107,93,6,237,PP,
107,5,2,237,K,
107,237,2,237,5,
107,237,2,237,5,
107,94,4,237,PP,
107,94,4,237,QQ,
107,94,4,237,QQ,
107,94,4,237,QQ,
107,237,2,237,6,
107,237,2,237,6,
107,225,2,237,10,
107,95,2,237,JJ,
107,222,4,216,9,
107,104,2,212,MM,
107,212,2,216,12,
107,231,4,216,9,
107,227,2,216,11,
107,211,2,216,8,
107,228,2,216,9,
107,214,2,216,12,
107,900,4,218,SR,
107,2,2,220,J,
107,87,6,241,LL,
107,226,2,241,13,
107,213,2,241,7,
107,95,4,241,UU,
107,325,2,241,C,
107,93,4,241,KK,
107,227,4,241,6,
107,237,4,241,8,
107,325,2,241,F,
107,237,4,241,8,
107,230,2,241,1,
107,94,6,241,UU,
107,95,2,241,HH,
107,94,4,241,RR,
107,900,1,223,SRO,
107,211,2,205,16,
107,160,2,243,KK,
107,217,3,243,13,
107,102,4,220,MM,
107,162,4,220,FF,
107,408,2,223,B,
107,94,2,221,EE,
107,212,2,221,12,
107,215,2,231,2,
107,228,2,223,8,
107,162,3,236,DD,
107,162,4,247,HH,
107,900,4,225,SR,
107,406,2,248,B,
107,410,4,248,D,
107,161,2,248,DD,
107,94,2,248,CC,
107,94,2,248,EE,
107,323,2,248,A,
107,95,4,248,TT,
107,233,6,248,3,
107,237,2,248,4,
107,208,6,248,5,
107,93,8,248,NN,
107,207,9,248,6,
107,94,2,209,RR,
107,900,4,225,GA1,
107,93,2,210,RR,
107,211,2,210,14,
107,408,2,249,B,
107,7,2,226,G,
107,215,2,226,5,
107,213,6,226,8,
107,217,4,226,14,
107,93,2,227,LL,
107,93,2,227,KK,
107,227,4,250,11,
107,408,4,250,C,
107,3,10,240,J,
107,226,4,250,12,
107,158,2,251,JJ,
107,6,4,228,G,
107,7,2,228,F,
107,6,2,230,J,
107,410,2,251,B,
107,231,4,228,8,
107,900,3,232,SRO,
107,900,4,232,SRO,
107,208,8,252,6,
107,214,2,252,9,
107,213,4,252,5,
107,160,4,252,JJ,
107,404,4,252,D,
107,214,2,252,11,
107,227,5,252,2,
107,94,6,252,QQ,
107,95,2,252,EE,
107,6,2,252,J,
107,231,2,252,1,
107,403,2,252,E,
107,2,4,252,L,
107,160,2,252,EE,
107,103,4,226,JJ,
107,161,2,230,JJ,
107,161,2,230,HH,
107,213,6,230,6,
107,211,4,231,7,
107,80,2,245,E,
107,223,6,236,5,
107,160,4,226,GG,
107,102,4,233,JJ,
107,225,6,235,3,
107,407,2,259,B,
107,210,10,259,12,
107,94,4,259,HH,
107,159,2,235,DD,
107,2,3,259,H,
107,93,8,259,LL,
107,160,2,259,CC,
107,6,2,259,G,
107,218,3,236,1,
107,71,2,260,K,
107,71,2,260,K,
107,211,2,220,12,
107,157,4,231,HH,
107,237,4,263,5,
107,94,4,263,GG,
